start_date,project,commit,num_files,max_block_complexity,min_block_complexity,mean_block_complexity,max_file_complexity,min_file_complexity,mean_file_complexity,loc,lloc,sloc,comments,multi,blank,min_mi,max_mi,mean_mi,total_posts,answered,unanswered,total_answers
2012-10-01 00:00:00,ansible,880328c10f90f6c4eb049ecb83b460b994fcf2a5,44,55,1,3.650632911392405,148,2,40.05555555555556,6998,4066,5816,982,134,1182,20.38934752076612,100.0,70.04809799737068,"1","0","1","0"
2013-01-01 00:00:00,ansible,5ef077e58ca5bbb208bf942facd6fdf53180abfa,77,42,1,3.399656946826758,138,2,30.96875,10691,5778,8939,1695,352,1752,25.07601399751483,100.0,74.72844571310178,"2","1","1","1"
2013-04-01 00:00:00,ansible,2580adaeaa2100b7637fb266399d6e872c3ad1bc,85,44,1,3.790372670807453,188,2,33.90277777777778,12706,6814,10701,1998,441,2005,17.06378525939449,100.0,73.55070033457427,"10","6","4","11"
2013-07-01 00:00:00,ansible,9f753973102eda60a08cd411e6d8043ab60bc58d,95,47,1,3.917900403768506,198,2,35.93827160493827,15738,8357,13180,2478,643,2558,15.395704452343804,100.0,73.15557285276272,"27","15","12","36"
2013-10-01 00:00:00,ansible,5b205ae8bddfa0e027311c24a17a78714792dff3,103,51,1,4.0335329341317365,223,2,38.27272727272727,17826,9611,14910,2780,663,2916,9.332875576152889,100.0,72.43390655763237,"60","35","25","66"
2014-01-01 00:00:00,ansible,b2cd4a62decc43f8960a11c54e02a88bb90c72d6,120,57,1,4.32795156407669,284,1,40.08411214953271,21150,11958,17688,3290,895,3462,0.0069589774965145195,100.0,70.67378314245737,"118","72","46","163"
2014-04-01 00:00:00,ansible,57acf104c661da111d6d749118b090e69eb3994b,136,63,1,4.173343605546996,633,1,44.40163934426229,26629,15541,22295,3965,1199,4334,0.0,100.0,69.31288888800634,"108","59","49","156"
2014-07-01 00:00:00,ansible,26cc0b37807c345a64dc0b4314cc59cd918d1b81,152,64,1,4.135248773651016,652,1,43.38970588235294,29823,17224,25078,4579,1290,4745,0.0,100.0,69.72994092232221,"142","81","61","202"
2014-10-01 00:00:00,ansible,d5bab777cbb78ce85a8fb2e4ef1691a1c8b25f2b,165,68,1,4.141609482220836,663,1,44.858108108108105,32451,19074,27169,5075,1473,5282,0.0,100.0,70.14971184579473,"167","78","89","185"
2015-01-01 00:00:00,ansible,e1f2cb1d37f91b304427c1f159e42e0f142eca04,286,68,1,3.779955456570156,679,0,36.4206008583691,43415,24390,36285,7884,2137,7130,0.0,100.0,77.2820708242716,"243","116","127","368"
